text,label
I’m grateful for my family,not suicidal
I'm tired of existing,suicidal
Life feels meaningless,suicidal
I had a good day,not suicidal
I’m proud of myself,not suicidal
Things are going well,not suicidal
I'm tired of existing,suicidal
I had a good day,not suicidal
Nobody would care if I were gone,suicidal
I just want everything to stop,suicidal
Things are going well,not suicidal
I can't go on anymore,suicidal
I enjoy my hobbies,not suicidal
I feel like giving up,suicidal
Nobody would care if I were gone,suicidal
Things are going well,not suicidal
I'm tired of existing,suicidal
Things are going well,not suicidal
I’m proud of myself,not suicidal
I’m proud of myself,not suicidal
Nothing makes sense anymore,suicidal
I can't see any future for myself,suicidal
I had a good day,not suicidal
Life is good,not suicidal
It hurts too much to stay,suicidal
I had a good day,not suicidal
I don’t want to wake up tomorrow,suicidal
I’m making progress,not suicidal
I want the pain to end,suicidal
Today was productive,not suicidal
I'm tired of existing,suicidal
I feel like a burden,suicidal
It hurts too much to stay,suicidal
I’m making progress,not suicidal
I’m feeling optimistic,not suicidal
I feel like a burden,suicidal
I’m grateful for my family,not suicidal
I enjoy my hobbies,not suicidal
I’m grateful for my family,not suicidal
I feel okay,not suicidal
I’m making progress,not suicidal
I had a good day,not suicidal
I want to disappear,suicidal
Nothing makes sense anymore,suicidal
I'm tired of existing,suicidal
Today was productive,not suicidal
I just want everything to stop,suicidal
I'm done with everything,suicidal
I want the pain to end,suicidal
I’m feeling optimistic,not suicidal
I don’t want to wake up tomorrow,suicidal
I feel supported,not suicidal
I enjoy my hobbies,not suicidal
It hurts too much to stay,suicidal
Today was productive,not suicidal
It hurts too much to stay,suicidal
I can't go on anymore,suicidal
It hurts too much to stay,suicidal
I feel okay,not suicidal
I'm thinking about ending it all,suicidal
Life feels meaningless,suicidal
I'm done with everything,suicidal
Life is good,not suicidal
Today was productive,not suicidal
I can't go on anymore,suicidal
I'm thinking about ending it all,suicidal
I want the pain to end,suicidal
I’m looking forward to tomorrow,not suicidal
I just want everything to stop,suicidal
Today was productive,not suicidal
I’m grateful for my family,not suicidal
I want to disappear,suicidal
I can't go on anymore,suicidal
Things are going well,not suicidal
I don’t want to wake up tomorrow,suicidal
I feel supported,not suicidal
Nothing makes sense anymore,suicidal
